goos: darwin
goarch: arm64
pkg: github.com/sted/heligo
cpu: Apple M1 Pro
BenchmarkNotFound-10              	 5708629	       213.7 ns/op	      48 B/op	       3 allocs/op
BenchmarkNotFound-10              	 5874520	       210.3 ns/op	      48 B/op	       3 allocs/op
BenchmarkMiddleware3-10           	37470188	        32.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware3-10           	37335829	        32.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware3-10           	37301494	        32.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware3-10           	37810956	        32.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware3-10           	37485892	        32.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware3-10           	37248475	        32.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter/Heligo_base-10    	74197351	        15.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter/Heligo_base-10    	75670788	        15.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter/Heligo_base-10    	75399774	        15.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter/Heligo_base-10    	75242383	        16.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter/Heligo_base-10    	75720528	        15.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter/Heligo_base-10    	75175016	        16.06 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/sted/heligo	107.712s
